tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r0_c0,7,5,529.887,101.361,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c1,9,9,0.0,0.0,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c10,90,80,3339.949,201.642,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c11,97,90,2715.933,343.005,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c12,42,39,5222.084,75.094,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c13,58,53,12327.392,5439.44,22,2012,"3,6","42,5",8817.0,7145.0,41116,,"63,8"
tile_r0_c14,9,8,133.166,61.379,22,2012,"3,6","42,5",8817.0,7145.0,41116,,"63,8"
tile_r0_c15,92,88,1538.376,52.876,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c16,73,69,4222.511,219.554,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c17,121,111,2445.439,110.292,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c18,5,5,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c19,3,1,400.323,28.973,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c2,34,28,9655.453,725.744,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c20,0,0,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c21,9,7,979.525,294.43,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c22,25,21,3725.052,727.906,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c23,134,120,4679.587,431.214,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c24,145,135,2497.654,218.179,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c25,51,47,523.808,62.785,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c26,0,0,0.0,0.0,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c3,21,18,2002.778,653.804,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c4,41,34,3311.443,235.165,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c5,69,63,1596.87,56.34,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c6,0,0,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c7,1,0,78.645,4.889,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c8,153,147,1432.444,80.228,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c9,112,104,3596.981,91.693,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c0,132,124,1639.165,98.705,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c1,128,116,3191.89,234.076,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c10,76,67,10183.325,344.324,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c11,37,31,10232.013,431.39,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c12,68,67,43.016,1.381,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c13,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c14,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c15,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c16,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c17,17,15,613.231,83.647,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c18,63,56,2118.672,95.739,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c19,39,31,1467.443,546.355,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c2,61,53,7802.275,273.711,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c20,36,33,650.172,63.245,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c21,54,49,1776.459,81.168,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r10_c22,96,89,1285.19,105.03,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r10_c23,111,104,3402.414,154.558,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c24,119,111,2121.423,154.008,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c25,126,121,648.208,81.344,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c26,0,0,0.0,0.0,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c3,28,19,14477.857,1855.604,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c4,34,31,13351.088,788.954,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c5,96,86,3789.356,308.16,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c6,118,111,1459.452,154.013,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c7,139,132,1426.848,146.128,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c8,122,112,3180.894,57.595,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c9,121,108,3254.59,383.566,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c0,74,68,1366.434,74.879,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c1,109,100,1800.183,165.161,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c10,52,40,10785.966,226.712,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c11,27,21,13214.359,1071.835,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c12,65,64,679.575,467.991,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c13,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c14,2,2,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c15,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c16,3,3,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c17,1,1,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c18,2,2,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c19,8,7,253.642,1.698,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c2,44,33,17291.813,781.573,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c20,12,12,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c21,19,18,285.102,9.337,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c22,75,68,1640.898,249.949,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c23,35,33,603.473,123.791,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c24,47,41,3622.897,405.916,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c25,95,90,1357.623,117.083,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c3,30,22,9316.831,1281.342,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c4,61,56,2718.114,305.759,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c5,44,35,6992.806,166.677,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c6,93,83,5137.395,622.96,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c7,134,128,3416.558,139.755,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c8,68,66,666.605,367.359,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c9,90,82,1887.764,170.85,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c0,38,35,791.113,110.296,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c1,141,132,1660.852,229.288,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c10,82,68,8160.382,249.449,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c11,11,6,15616.009,895.816,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c12,12,6,8546.978,2810.49,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c13,24,21,903.876,66.801,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c14,22,18,684.084,78.9,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c15,8,7,321.833,3.398,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c16,11,10,81.003,4.99,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c17,10,7,741.585,105.303,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c18,17,9,4065.238,213.661,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r12_c19,110,109,34.067,1.804,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c2,125,110,5074.13,208.206,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c20,135,132,1774.069,22.284,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c21,71,68,2876.731,484.901,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c22,19,16,13583.345,554.117,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c23,93,89,1307.309,49.857,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c24,150,140,2354.763,308.548,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c25,71,66,1777.549,151.656,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r12_c3,92,84,3382.848,145.559,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c4,112,105,2091.384,87.176,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c5,48,43,2934.55,455.185,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c6,83,74,6902.53,1494.326,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c7,73,62,5036.948,233.594,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c8,60,57,2346.384,104.565,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c9,66,59,2923.712,364.123,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c0,79,74,4567.639,47.863,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r13_c1,121,113,2547.1,219.616,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r13_c10,65,51,11310.626,948.391,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c11,15,11,9451.828,942.993,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c12,54,34,12863.871,825.391,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c13,84,79,1318.618,117.248,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c14,89,83,2265.045,113.623,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c15,15,14,4466.424,6.902,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c16,13,10,1201.495,112.536,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c17,28,25,986.355,75.048,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c18,33,26,10852.767,976.603,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r13_c19,34,32,711.153,7.641,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c2,91,86,1954.416,155.252,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r13_c20,55,52,2419.199,55.287,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c21,37,32,12860.896,932.451,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c22,26,19,19619.177,824.741,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c23,90,80,22292.545,1857.368,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c24,115,106,3089.851,135.978,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c25,82,77,3630.034,756.786,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r13_c3,91,80,4551.352,986.366,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r13_c4,63,57,5408.0,358.172,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r13_c5,56,53,2400.178,145.633,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c6,101,95,2551.967,33.056,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c7,112,109,1582.848,164.622,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c8,83,78,7205.254,107.115,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r13_c9,64,56,8430.238,378.149,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c0,97,91,1078.626,84.345,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r14_c1,125,116,1895.068,177.18,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r14_c10,54,44,12826.711,1341.898,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c11,11,9,1921.008,125.666,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c12,34,29,2790.054,58.525,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c13,90,80,5720.432,197.853,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c14,77,68,7359.595,311.03,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c15,26,23,3306.501,59.991,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c16,28,25,1115.788,203.306,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c17,76,70,2208.706,254.871,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c18,33,27,15775.069,125.033,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r14_c19,5,3,5655.843,217.138,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c2,104,92,3702.985,226.074,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r14_c20,75,69,2673.453,137.525,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c21,111,103,2320.471,134.433,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c22,66,56,5667.301,897.428,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c23,63,58,3705.847,129.733,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c24,91,86,3413.763,247.241,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c25,86,76,4997.329,157.065,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r14_c3,37,32,2961.414,545.882,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r14_c4,10,8,4804.044,514.881,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r14_c5,29,25,2524.324,532.248,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c6,104,99,1231.336,79.503,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c7,112,105,1016.419,69.716,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c8,94,82,4327.902,386.373,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r14_c9,104,95,5094.666,283.27,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r15_c0,111,104,1808.584,103.703,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c1,131,125,2488.205,124.324,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c10,35,28,6190.854,1149.389,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r15_c11,23,12,7607.446,341.302,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c12,15,13,677.348,46.842,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c13,76,71,2564.595,157.601,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c14,60,54,3965.715,201.017,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c15,63,55,5996.514,124.756,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c16,56,44,9069.566,308.515,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c17,82,69,4070.393,189.481,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c18,69,56,6231.84,419.258,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c19,49,49,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r15_c2,128,119,1751.8,131.007,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c20,168,160,2337.851,164.692,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c21,100,88,5130.283,138.891,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c22,51,45,4113.912,79.888,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c23,39,37,4437.961,242.819,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c24,114,106,3042.94,338.776,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c25,61,53,3275.061,165.656,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r15_c3,51,46,554.285,95.163,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c4,7,6,50.287,1.382,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c5,87,80,4077.522,240.557,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r15_c6,110,100,4940.472,227.67,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r15_c7,41,37,7155.588,131.357,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r15_c8,41,39,2181.876,11.157,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r15_c9,44,40,8693.902,146.415,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r16_c0,75,68,4169.074,47.651,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c1,80,77,5367.745,137.615,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c10,28,22,13615.031,283.45,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r16_c11,12,7,17502.056,1302.639,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c12,20,11,5444.473,597.577,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c13,105,101,2172.117,685.102,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c14,68,63,2495.577,518.846,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c15,100,91,3825.739,194.09,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c16,79,75,1558.187,252.462,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c17,71,62,3029.2,173.137,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c18,96,87,3111.933,251.659,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r16_c19,69,62,2709.616,96.79,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c2,62,54,10083.249,662.807,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c20,102,100,72.797,47.222,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c21,20,16,9968.34,267.909,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c22,37,34,2088.609,328.992,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c23,71,61,5689.453,581.641,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c24,95,89,2432.771,122.72,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c25,63,52,5634.527,209.033,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r16_c3,56,50,1763.208,88.251,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c4,13,13,0.0,0.0,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c5,169,155,2804.987,194.852,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r16_c6,108,97,4565.843,217.466,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r16_c7,102,99,1209.332,235.616,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r16_c8,54,51,3237.843,116.039,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r16_c9,31,23,10136.149,666.631,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r17_c0,74,65,6735.42,103.81,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c1,69,61,4800.238,168.779,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c10,19,11,24741.493,1375.676,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r17_c11,10,8,2483.254,193.969,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c12,29,24,13326.879,1023.802,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c13,38,34,8970.363,692.017,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c14,71,67,2380.134,153.656,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c15,95,89,1737.286,38.648,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c16,75,69,1900.795,62.001,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c17,77,68,3267.372,200.206,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c18,165,154,5338.121,260.894,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r17_c19,63,57,1318.771,67.286,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c2,109,100,6402.445,588.888,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c20,5,4,601.047,21.542,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c21,12,10,1638.129,209.345,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c22,48,43,2064.229,105.03,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c23,89,83,5869.527,502.287,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c24,61,48,10823.445,176.919,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c25,28,18,6932.219,155.794,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r17_c3,43,35,8181.308,283.037,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c4,10,9,2226.795,29.023,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c5,93,87,1238.305,164.873,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c6,162,158,3239.073,328.957,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c7,23,18,11190.161,241.143,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r17_c8,22,20,3976.792,19.659,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r17_c9,31,25,17796.512,676.083,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r18_c0,33,28,5005.562,375.248,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r18_c1,79,74,3023.611,152.292,07,2012,"4,2","42,1",10497.0,7326.0,54552,,"69,2"
tile_r18_c10,15,12,16100.094,876.568,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r18_c11,11,7,8175.058,262.376,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c12,18,15,16063.679,1348.379,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c13,44,40,7964.454,319.885,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c14,60,54,1990.718,145.585,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c15,72,66,4207.459,123.377,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c16,61,52,5496.758,116.356,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r18_c17,61,53,4521.901,113.691,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
