tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r33_c4,27,20,16793.97,886.775,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r33_c5,22,18,26439.076,727.959,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r33_c6,24,17,30235.697,754.228,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r33_c7,42,34,18629.937,281.738,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r33_c8,20,18,4620.094,440.354,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r33_c9,16,9,16248.241,245.543,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r34_c0,59,49,4554.677,400.563,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r34_c1,56,51,18545.412,535.362,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r34_c10,21,19,972.3,48.02,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r34_c11,18,13,5000.165,127.578,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r34_c12,22,17,6014.241,112.589,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r34_c13,17,12,7878.66,612.78,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c14,15,12,7861.873,332.805,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c15,5,5,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c16,12,11,470.107,1.168,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c17,26,21,5865.918,143.201,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c18,44,41,1295.224,47.869,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c19,49,42,5180.294,231.996,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c2,48,39,13302.77,236.709,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r34_c20,69,61,7100.82,667.15,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c21,21,17,8911.96,374.966,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c22,33,23,12046.038,383.199,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c23,38,29,11345.388,627.885,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c24,39,36,5168.304,161.434,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c25,19,18,246.466,10.393,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c26,1,0,897.675,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r34_c3,15,12,8316.748,335.996,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r34_c4,30,23,22902.572,1344.454,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r34_c5,28,19,42194.206,185.282,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r34_c6,26,16,41195.806,430.469,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r34_c7,53,41,18182.122,330.304,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
