Year,Location,Value,District
2020,Schwabing - West,"72,1",04
2020,Au - Haidhausen,"73,5",05
2020,Sendling,"74,2",06
2020,Sendling - Westpark,"69,2",07
2020,Schwanthalerhöhe,"75,6",08
2020,Neuhausen - Nymphenburg,"70,6",09
2020,Moosach,"68,8",10
2020,Milbertshofen - Am Hart,"71,8",11
2020,Schwabing - Freimann,"72,1",12
2020,Bogenhausen,"66,1",13
2020,Berg am Laim,"69,5",14
2020,Trudering - Riem,"67,5",15
2020,Ramersdorf - Perlach,66,16
2020,Obergiesing - Fasangarten,"72,7",17
2020,Untergiesing - Harlaching,"69,2",18
2020,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,1",19
2020,Hadern,"65,8",20
2020,Pasing - Obermenzing,"66,5",21
2020,Aubing - Lochhausen - Langwied,"65,4",22
2020,Allach - Untermenzing,"66,2",23
2020,Feldmoching - Hasenbergl,"66,7",24
2020,Laim,"70,1",25
2019,Stadt München,"69,8",00
2019,Altstadt - Lehel,"73,4",01
2019,Ludwigsvorstadt - Isarvorstadt,"78,3",02
2019,Maxvorstadt,"79,2",03
2019,Schwabing - West,72,04
2019,Au - Haidhausen,"73,6",05
2019,Sendling,"74,4",06
2019,Sendling - Westpark,"69,1",07
2019,Schwanthalerhöhe,"75,6",08
2019,Neuhausen - Nymphenburg,"70,8",09
2019,Moosach,"68,8",10
2019,Milbertshofen - Am Hart,72,11
2019,Schwabing - Freimann,"72,1",12
2019,Bogenhausen,"66,2",13
2019,Berg am Laim,"69,4",14
2019,Trudering - Riem,"67,4",15
2019,Ramersdorf - Perlach,66,16
2019,Obergiesing - Fasangarten,"72,7",17
2019,Untergiesing - Harlaching,"69,1",18
2019,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,66,19
2019,Hadern,"65,8",20
2019,Pasing - Obermenzing,"66,4",21
2019,Aubing - Lochhausen - Langwied,"65,5",22
2019,Allach - Untermenzing,"66,5",23
2019,Feldmoching - Hasenbergl,"66,7",24
2019,Laim,"70,2",25
2018,Stadt München,"69,7",00
2018,Altstadt - Lehel,"73,4",01
2018,Ludwigsvorstadt - Isarvorstadt,"78,2",02
2018,Maxvorstadt,"79,3",03
2018,Schwabing - West,72,04
2018,Au - Haidhausen,"73,5",05
2018,Sendling,"74,5",06
2018,Sendling - Westpark,69,07
2018,Schwanthalerhöhe,"75,4",08
2018,Neuhausen - Nymphenburg,"70,9",09
2018,Moosach,"68,6",10
2018,Milbertshofen - Am Hart,"71,9",11
2018,Schwabing - Freimann,"72,2",12
2018,Bogenhausen,"66,1",13
2018,Berg am Laim,"69,1",14
2018,Trudering - Riem,"67,2",15
2018,Ramersdorf - Perlach,"65,9",16
2018,Obergiesing - Fasangarten,"72,6",17
2018,Untergiesing - Harlaching,69,18
2018,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,9",19
2018,Hadern,"65,7",20
2018,Pasing - Obermenzing,"66,4",21
2018,Aubing - Lochhausen - Langwied,"65,4",22
2018,Allach - Untermenzing,"66,5",23
2018,Feldmoching - Hasenbergl,"66,6",24
2018,Laim,"70,1",25
2017,Stadt München,"69,9",00
2017,Altstadt - Lehel,"73,6",01
2017,Ludwigsvorstadt - Isarvorstadt,"78,6",02
2017,Maxvorstadt,"79,7",03
2017,Schwabing - West,"72,2",04
2017,Au - Haidhausen,"73,8",05
2017,Sendling,"74,5",06
2017,Sendling - Westpark,"69,3",07
2017,Schwanthalerhöhe,"75,6",08
2017,Neuhausen - Nymphenburg,"71,2",09
2017,Moosach,"68,8",10
2017,Milbertshofen - Am Hart,"72,2",11
2017,Schwabing - Freimann,"72,7",12
2017,Bogenhausen,"66,4",13
2017,Berg am Laim,"69,4",14
2017,Trudering - Riem,"67,3",15
2017,Ramersdorf - Perlach,"66,1",16
2017,Obergiesing - Fasangarten,"72,8",17
2017,Untergiesing - Harlaching,"69,2",18
2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,66,19
2017,Hadern,"65,8",20
2017,Pasing - Obermenzing,"66,4",21
2017,Aubing - Lochhausen - Langwied,"65,3",22
2017,Allach - Untermenzing,"66,4",23
2017,Feldmoching - Hasenbergl,"66,6",24
2017,Laim,"70,2",25
2016,Stadt München,"70,1",00
2016,Altstadt - Lehel,"73,9",01
2016,Ludwigsvorstadt - Isarvorstadt,"78,9",02
2016,Maxvorstadt,80,03
2016,Schwabing - West,"72,3",04
