tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year
tile_r7_c0,22,15,36976.843,15890.991,421.368,48.140128,11.57122,Altstadt-Lehel,01,2024
tile_r7_c1,37,31,13546.012,19834.236,724.616,48.143125,11.57122,Maxvorstadt,03,2024
tile_r7_c2,30,22,20954.265,18940.07,1117.439,48.146122,11.57122,Maxvorstadt,03,2024
tile_r7_c3,24,18,22501.505,11500.174,626.632,48.149119,11.57122,Maxvorstadt,03,2024
tile_r7_c4,38,32,16345.751,27139.551,141.774,48.152115,11.57122,Maxvorstadt,03,2024
tile_r7_c5,1,1,0.0,110.079,0.0,48.154029,11.57122,Maxvorstadt,03,2024
tile_r8_c0,20,13,41738.307,25651.661,708.228,48.140128,11.575711,Altstadt-Lehel,01,2024
tile_r8_c1,26,17,30144.735,19769.52,2579.963,48.143125,11.575711,Maxvorstadt,03,2024
tile_r8_c2,27,22,27626.986,21599.829,971.195,48.146122,11.575711,Maxvorstadt,03,2024
tile_r8_c3,22,17,49540.846,11500.606,173.118,48.149119,11.575711,Maxvorstadt,03,2024
tile_r8_c4,25,18,46108.792,16825.078,292.039,48.152115,11.575711,Maxvorstadt,03,2024
tile_r8_c5,28,26,423.1,2863.166,13.891,48.154029,11.575711,Maxvorstadt,03,2024
tile_r9_c0,26,19,42605.725,20078.75,1933.986,48.140128,11.580203,Altstadt-Lehel,01,2024
tile_r9_c1,11,9,3090.597,10571.962,133.108,48.143125,11.580203,Altstadt-Lehel,01,2024
tile_r9_c2,22,16,23971.423,27030.802,972.337,48.146122,11.580203,Maxvorstadt,03,2024
tile_r9_c3,38,30,12291.98,24387.764,738.366,48.149119,11.580203,Maxvorstadt,03,2024
tile_r9_c4,18,13,23046.501,17208.947,992.829,48.152115,11.580203,Maxvorstadt,03,2024
tile_r9_c5,11,11,0.0,1660.758,0.0,48.154029,11.580203,Maxvorstadt,03,2024
