Year,Location,Population,District
2016,Schwanthalerhöhe,4191.0,08
2016,Neuhausen - Nymphenburg,13854.0,09
2016,Moosach,8209.0,10
2016,Milbertshofen - Am Hart,11196.0,11
2016,Schwabing - Freimann,10839.0,12
2016,Bogenhausen,13232.0,13
2016,Berg am Laim,6997.0,14
2016,Trudering - Riem,14558.0,15
2016,Ramersdorf - Perlach,18695.0,16
2016,Obergiesing - Fasangarten,7559.0,17
2016,Untergiesing - Harlaching,7389.0,18
2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,14307.0,19
2016,Hadern,7572.0,20
2016,Pasing - Obermenzing,12557.0,21
2016,Aubing - Lochhausen - Langwied,7931.0,22
2016,Allach - Untermenzing,5669.0,23
2016,Feldmoching - Hasenbergl,10887.0,24
2016,Laim,7054.0,25
2015,Stadt München,223598.0,00
2015,Altstadt - Lehel,2322.0,01
2015,Ludwigsvorstadt - Isarvorstadt,6152.0,02
2015,Maxvorstadt,5053.0,03
2015,Schwabing - West,8623.0,04
2015,Au - Haidhausen,8394.0,05
2015,Sendling,5275.0,06
2015,Sendling - Westpark,8108.0,07
2015,Schwanthalerhöhe,4252.0,08
2015,Neuhausen - Nymphenburg,13687.0,09
2015,Moosach,7931.0,10
2015,Milbertshofen - Am Hart,11101.0,11
2015,Schwabing - Freimann,11458.0,12
2015,Bogenhausen,12848.0,13
2015,Berg am Laim,6745.0,14
2015,Trudering - Riem,14383.0,15
2015,Ramersdorf - Perlach,18359.0,16
2015,Obergiesing - Fasangarten,7407.0,17
2015,Untergiesing - Harlaching,7233.0,18
2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,13769.0,19
2015,Hadern,7588.0,20
2015,Pasing - Obermenzing,12220.0,21
2015,Aubing - Lochhausen - Langwied,7547.0,22
2015,Allach - Untermenzing,5558.0,23
2015,Feldmoching - Hasenbergl,10789.0,24
2015,Laim,6796.0,25
2014,Stadt München,216263.0,00
2014,Altstadt - Lehel,2268.0,01
2014,Ludwigsvorstadt - Isarvorstadt,5825.0,02
2014,Maxvorstadt,4728.0,03
2014,Schwabing - West,8119.0,04
2014,Au - Haidhausen,8234.0,05
2014,Sendling,5170.0,06
2014,Sendling - Westpark,7703.0,07
2014,Schwanthalerhöhe,4222.0,08
2014,Neuhausen - Nymphenburg,13301.0,09
2014,Moosach,7748.0,10
2014,Milbertshofen - Am Hart,11078.0,11
2014,Schwabing - Freimann,9882.0,12
2014,Bogenhausen,12408.0,13
2014,Berg am Laim,6566.0,14
2014,Trudering - Riem,14176.0,15
2014,Ramersdorf - Perlach,17991.0,16
2014,Obergiesing - Fasangarten,7052.0,17
2014,Untergiesing - Harlaching,7121.0,18
2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,13151.0,19
2014,Hadern,7607.0,20
2014,Pasing - Obermenzing,11961.0,21
2014,Aubing - Lochhausen - Langwied,7321.0,22
2014,Allach - Untermenzing,5478.0,23
2014,Feldmoching - Hasenbergl,10449.0,24
2014,Laim,6703.0,25
2013,Stadt München,211063.0,00
2013,Altstadt - Lehel,2231.0,01
2013,Ludwigsvorstadt - Isarvorstadt,5460.0,02
2013,Maxvorstadt,4573.0,03
2013,Schwabing - West,7721.0,04
2013,Au - Haidhausen,8024.0,05
2013,Sendling,5145.0,06
2013,Sendling - Westpark,7464.0,07
2013,Schwanthalerhöhe,4105.0,08
2013,Neuhausen - Nymphenburg,12940.0,09
2013,Moosach,7648.0,10
2013,Milbertshofen - Am Hart,10932.0,11
2013,Schwabing - Freimann,9058.0,12
2013,Bogenhausen,11982.0,13
2013,Berg am Laim,6297.0,14
2013,Trudering - Riem,14043.0,15
2013,Ramersdorf - Perlach,17625.0,16
2013,Obergiesing - Fasangarten,6827.0,17
2013,Untergiesing - Harlaching,6923.0,18
2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,13085.0,19
2013,Hadern,7494.0,20
2013,Pasing - Obermenzing,11822.0,21
2013,Aubing - Lochhausen - Langwied,7302.0,22
2013,Allach - Untermenzing,5370.0,23
2013,Feldmoching - Hasenbergl,10381.0,24
2013,Laim,6611.0,25
2012,Stadt München,206449.0,00
2012,Altstadt - Lehel,2159.0,01
2012,Ludwigsvorstadt - Isarvorstadt,5267.0,02
2012,Maxvorstadt,4443.0,03
2012,Schwabing - West,7441.0,04
2012,Au - Haidhausen,7815.0,05
2012,Sendling,5077.0,06
2012,Sendling - Westpark,7326.0,07
2012,Schwanthalerhöhe,4087.0,08
2012,Neuhausen - Nymphenburg,12560.0,09
2012,Moosach,7461.0,10
2012,Milbertshofen - Am Hart,10949.0,11
2012,Schwabing - Freimann,8885.0,12
2012,Bogenhausen,11742.0,13
2012,Berg am Laim,6159.0,14
2012,Trudering - Riem,13931.0,15
2012,Ramersdorf - Perlach,17497.0,16
2012,Obergiesing - Fasangarten,6550.0,17
2012,Untergiesing - Harlaching,6675.0,18
2012,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,12276.0,19
2012,Hadern,7361.0,20
2012,Pasing - Obermenzing,11579.0,21
2012,Aubing - Lochhausen - Langwied,7145.0,22
2012,Allach - Untermenzing,5303.0,23
2012,Feldmoching - Hasenbergl,10264.0,24
2012,Laim,6497.0,25
2011,Stadt München,202501.0,00
2011,Altstadt - Lehel,2088.0,01
2011,Ludwigsvorstadt - Isarvorstadt,5107.0,02
2011,Maxvorstadt,4249.0,03
2011,Schwabing - West,7197.0,04
2011,Au - Haidhausen,7427.0,05
2011,Sendling,4968.0,06
2011,Sendling - Westpark,7240.0,07
2011,Schwanthalerhöhe,3990.0,08
2011,Neuhausen - Nymphenburg,12127.0,09
2011,Moosach,7391.0,10
2011,Milbertshofen - Am Hart,10839.0,11
2011,Schwabing - Freimann,8687.0,12
2011,Bogenhausen,11535.0,13
2011,Berg am Laim,5952.0,14
2011,Trudering - Riem,13741.0,15
2011,Ramersdorf - Perlach,17434.0,16
2011,Obergiesing - Fasangarten,6535.0,17
2011,Untergiesing - Harlaching,6606.0,18
2011,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,12087.0,19
2011,Hadern,7320.0,20
2011,Pasing - Obermenzing,11325.0,21
2011,Aubing - Lochhausen - Langwied,6959.0,22
2011,Allach - Untermenzing,5129.0,23
2011,Feldmoching - Hasenbergl,10124.0,24
2011,Laim,6444.0,25
2010,Stadt München,198242.0,00
2010,Altstadt - Lehel,2018.0,01
2010,Ludwigsvorstadt - Isarvorstadt,4980.0,02
2010,Maxvorstadt,4185.0,03
2010,Schwabing - West,7050.0,04
2010,Au - Haidhausen,7187.0,05
2010,Sendling,5020.0,06
2010,Sendling - Westpark,7064.0,07
2010,Schwanthalerhöhe,3923.0,08
2010,Neuhausen - Nymphenburg,11533.0,09
2010,Moosach,7414.0,10
2010,Milbertshofen - Am Hart,10745.0,11
2010,Schwabing - Freimann,8343.0,12
2010,Bogenhausen,11381.0,13
2010,Berg am Laim,5816.0,14
2010,Trudering - Riem,13243.0,15
2010,Ramersdorf - Perlach,17452.0,16
2010,Obergiesing - Fasangarten,6387.0,17
2010,Untergiesing - Harlaching,6378.0,18
