Year,Location,Overall Population,District
2019,Bogenhausen,90025,13
2019,Berg am Laim,47000,14
2019,Trudering - Riem,73479,15
2019,Ramersdorf - Perlach,117918,16
2019,Obergiesing - Fasangarten,54498,17
2019,Untergiesing - Harlaching,53243,18
2019,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,97689,19
2019,Hadern,50165,20
2019,Pasing - Obermenzing,76348,21
2019,Aubing - Lochhausen - Langwied,49072,22
2019,Allach - Untermenzing,34277,23
2019,Feldmoching - Hasenbergl,62069,24
2019,Laim,57111,25
2018,Stadt München,1542211,00
2018,Altstadt - Lehel,21100,01
2018,Ludwigsvorstadt - Isarvorstadt,51644,02
2018,Maxvorstadt,51402,03
2018,Schwabing - West,68527,04
2018,Au - Haidhausen,61356,05
2018,Sendling,40983,06
2018,Sendling - Westpark,59643,07
2018,Schwanthalerhöhe,29743,08
2018,Neuhausen - Nymphenburg,98814,09
2018,Moosach,54223,10
2018,Milbertshofen - Am Hart,75094,11
2018,Schwabing - Freimann,77936,12
2018,Bogenhausen,87950,13
2018,Berg am Laim,46098,14
2018,Trudering - Riem,73206,15
2018,Ramersdorf - Perlach,116327,16
2018,Obergiesing - Fasangarten,54256,17
2018,Untergiesing - Harlaching,53184,18
2018,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,96714,19
2018,Hadern,49898,20
2018,Pasing - Obermenzing,74625,21
2018,Aubing - Lochhausen - Langwied,47813,22
2018,Allach - Untermenzing,33355,23
2018,Feldmoching - Hasenbergl,61774,24
2018,Laim,56546,25
2017,Stadt München,1526056,00
2017,Altstadt - Lehel,20926,01
2017,Ludwigsvorstadt - Isarvorstadt,51632,02
2017,Maxvorstadt,51311,03
2017,Schwabing - West,68265,04
2017,Au - Haidhausen,60937,05
2017,Sendling,40682,06
2017,Sendling - Westpark,59386,07
2017,Schwanthalerhöhe,29535,08
2017,Neuhausen - Nymphenburg,98520,09
2017,Moosach,53662,10
2017,Milbertshofen - Am Hart,74731,11
2017,Schwabing - Freimann,76341,12
2017,Bogenhausen,85971,13
2017,Berg am Laim,45582,14
2017,Trudering - Riem,72006,15
2017,Ramersdorf - Perlach,114478,16
2017,Obergiesing - Fasangarten,53937,17
2017,Untergiesing - Harlaching,52600,18
2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,95554,19
2017,Hadern,49626,20
2017,Pasing - Obermenzing,74098,21
2017,Aubing - Lochhausen - Langwied,46385,22
2017,Allach - Untermenzing,32677,23
