Year,Location,Population,District
2007,Neuhausen - Nymphenburg,14589.0,09
2007,Moosach,8660.0,10
2007,Milbertshofen - Am Hart,10502.0,11
2007,Schwabing - Freimann,9599.0,12
2007,Bogenhausen,14814.0,13
2007,Berg am Laim,7100.0,14
2007,Trudering - Riem,8671.0,15
2007,Ramersdorf - Perlach,19346.0,16
2007,Obergiesing - Fasangarten,7834.0,17
2007,Untergiesing - Harlaching,9935.0,18
2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,18366.0,19
2007,Hadern,9798.0,20
2007,Pasing - Obermenzing,12347.0,21
2007,Aubing - Lochhausen - Langwied,8293.0,22
2007,Allach - Untermenzing,5715.0,23
2007,Feldmoching - Hasenbergl,11081.0,24
2007,Laim,10255.0,25
2006,Stadt München,232910.0,00
2006,Altstadt - Lehel,3154.0,01
2006,Ludwigsvorstadt - Isarvorstadt,5329.0,02
2006,Maxvorstadt,5680.0,03
2006,Schwabing - West,9990.0,04
2006,Au - Haidhausen,7809.0,05
2006,Sendling,5342.0,06
2006,Sendling - Westpark,9658.0,07
2006,Schwanthalerhöhe,3227.0,08
2006,Neuhausen - Nymphenburg,14494.0,09
2006,Moosach,8476.0,10
2006,Milbertshofen - Am Hart,10377.0,11
2006,Schwabing - Freimann,9356.0,12
2006,Bogenhausen,14287.0,13
2006,Berg am Laim,6971.0,14
2006,Trudering - Riem,8304.0,15
2006,Ramersdorf - Perlach,18708.0,16
2006,Obergiesing - Fasangarten,7774.0,17
2006,Untergiesing - Harlaching,9796.0,18
2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,17905.0,19
2006,Hadern,9505.0,20
2006,Pasing - Obermenzing,12045.0,21
2006,Aubing - Lochhausen - Langwied,8065.0,22
2006,Allach - Untermenzing,5607.0,23
2006,Feldmoching - Hasenbergl,10869.0,24
2006,Laim,10182.0,25
2005,Stadt München,225289.0,00
2005,Altstadt - Lehel,3036.0,01
2005,Ludwigsvorstadt - Isarvorstadt,5229.0,02
2005,Maxvorstadt,5596.0,03
2005,Schwabing - West,9591.0,04
2005,Au - Haidhausen,7704.0,05
2005,Sendling,5169.0,06
2005,Sendling - Westpark,9402.0,07
2005,Schwanthalerhöhe,3166.0,08
2005,Neuhausen - Nymphenburg,14360.0,09
2005,Moosach,8207.0,10
2005,Milbertshofen - Am Hart,10055.0,11
2005,Schwabing - Freimann,9002.0,12
2005,Bogenhausen,13487.0,13
2005,Berg am Laim,6851.0,14
2005,Trudering - Riem,7758.0,15
2005,Ramersdorf - Perlach,17841.0,16
2005,Obergiesing - Fasangarten,7619.0,17
2005,Untergiesing - Harlaching,9572.0,18
2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,17173.0,19
2005,Hadern,9151.0,20
2005,Pasing - Obermenzing,11610.0,21
2005,Aubing - Lochhausen - Langwied,7723.0,22
2005,Allach - Untermenzing,5433.0,23
2005,Feldmoching - Hasenbergl,10570.0,24
2005,Laim,9984.0,25
2004,Stadt München,217948.0,00
2004,Altstadt - Lehel,2985.0,01
2004,Ludwigsvorstadt - Isarvorstadt,5140.0,02
2004,Maxvorstadt,5467.0,03
2004,Schwabing - West,9291.0,04
2004,Au - Haidhausen,7610.0,05
2004,Sendling,5019.0,06
2004,Sendling - Westpark,9107.0,07
2004,Schwanthalerhöhe,3066.0,08
2004,Neuhausen - Nymphenburg,14100.0,09
2004,Moosach,7927.0,10
2004,Milbertshofen - Am Hart,9687.0,11
2004,Schwabing - Freimann,8684.0,12
2004,Bogenhausen,12910.0,13
2004,Berg am Laim,6646.0,14
2004,Trudering - Riem,7357.0,15
2004,Ramersdorf - Perlach,17056.0,16
2004,Obergiesing - Fasangarten,7495.0,17
2004,Untergiesing - Harlaching,9392.0,18
2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,16444.0,19
2004,Hadern,8771.0,20
2004,Pasing - Obermenzing,11186.0,21
2004,Aubing - Lochhausen - Langwied,7360.0,22
2004,Allach - Untermenzing,5275.0,23
2004,Feldmoching - Hasenbergl,10193.0,24
2004,Laim,9780.0,25
2003,Stadt München,211238.0,00
2003,Altstadt - Lehel,2860.0,01
2003,Ludwigsvorstadt - Isarvorstadt,5097.0,02
2003,Maxvorstadt,5400.0,03
2003,Schwabing - West,8933.0,04
2003,Au - Haidhausen,7540.0,05
2003,Sendling,4923.0,06
2003,Sendling - Westpark,8868.0,07
2003,Schwanthalerhöhe,3041.0,08
2003,Neuhausen - Nymphenburg,13812.0,09
2003,Moosach,7619.0,10
2003,Milbertshofen - Am Hart,9410.0,11
2003,Schwabing - Freimann,8453.0,12
2003,Bogenhausen,12437.0,13
2003,Berg am Laim,6456.0,14
2003,Trudering - Riem,6989.0,15
2003,Ramersdorf - Perlach,16319.0,16
2003,Obergiesing - Fasangarten,7391.0,17
2003,Untergiesing - Harlaching,9195.0,18
2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,15805.0,19
2003,Hadern,8329.0,20
2003,Pasing - Obermenzing,10832.0,21
2003,Aubing - Lochhausen - Langwied,7037.0,22
2003,Allach - Untermenzing,5068.0,23
2003,Feldmoching - Hasenbergl,9819.0,24
2003,Laim,9605.0,25
2002,Stadt München,206125.0,00
2002,Altstadt - Lehel,2839.0,01
2002,Ludwigsvorstadt - Isarvorstadt,5061.0,02
2002,Maxvorstadt,5377.0,03
2002,Schwabing - West,8848.0,04
2002,Au - Haidhausen,7476.0,05
2002,Sendling,4874.0,06
2002,Sendling - Westpark,8714.0,07
2002,Schwanthalerhöhe,2984.0,08
2002,Neuhausen - Nymphenburg,13632.0,09
2002,Moosach,7373.0,10
2002,Milbertshofen - Am Hart,9128.0,11
2002,Schwabing - Freimann,8327.0,12
2002,Bogenhausen,11959.0,13
2002,Berg am Laim,6344.0,14
2002,Trudering - Riem,6699.0,15
2002,Ramersdorf - Perlach,15675.0,16
2002,Obergiesing - Fasangarten,7299.0,17
2002,Untergiesing - Harlaching,9047.0,18
2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,15332.0,19
2002,Hadern,8047.0,20
2002,Pasing - Obermenzing,10457.0,21
2002,Aubing - Lochhausen - Langwied,6715.0,22
2002,Allach - Untermenzing,4906.0,23
2002,Feldmoching - Hasenbergl,9546.0,24
2002,Laim,9466.0,25
2001,Stadt München,202231.0,00
2001,Altstadt - Lehel,2837.0,01
2001,Ludwigsvorstadt - Isarvorstadt,5014.0,02
2001,Maxvorstadt,5437.0,03
2001,Schwabing - West,8819.0,04
2001,Au - Haidhausen,7468.0,05
2001,Sendling,4775.0,06
2001,Sendling - Westpark,8630.0,07
2001,Schwanthalerhöhe,2926.0,08
2001,Neuhausen - Nymphenburg,13575.0,09
2001,Moosach,7211.0,10
2001,Milbertshofen - Am Hart,8852.0,11
2001,Schwabing - Freimann,8132.0,12
2001,Bogenhausen,11578.0,13
2001,Berg am Laim,6275.0,14
2001,Trudering - Riem,6434.0,15
2001,Ramersdorf - Perlach,15154.0,16
2001,Obergiesing - Fasangarten,7257.0,17
2001,Untergiesing - Harlaching,8979.0,18
2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,14949.0,19
2001,Hadern,7778.0,20
2001,Pasing - Obermenzing,10217.0,21
2001,Aubing - Lochhausen - Langwied,6443.0,22
2001,Allach - Untermenzing,4758.0,23
2001,Feldmoching - Hasenbergl,9290.0,24
2001,Laim,9443.0,25
2000,Stadt München,198392.0,00
2000,Altstadt - Lehel,2783.0,01
2000,Ludwigsvorstadt - Isarvorstadt,4972.0,02
2000,Maxvorstadt,5466.0,03
2000,Schwabing - West,8766.0,04
2000,Au - Haidhausen,7493.0,05
2000,Sendling,4723.0,06
2000,Sendling - Westpark,8517.0,07
2000,Schwanthalerhöhe,2888.0,08
2000,Neuhausen - Nymphenburg,13607.0,09
2000,Moosach,7019.0,10
2000,Milbertshofen - Am Hart,8575.0,11
2000,Schwabing - Freimann,8005.0,12
2000,Bogenhausen,11342.0,13
2000,Berg am Laim,6202.0,14
2000,Trudering - Riem,6145.0,15
2000,Ramersdorf - Perlach,14570.0,16
2000,Obergiesing - Fasangarten,7215.0,17
2000,Untergiesing - Harlaching,8912.0,18
2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,14547.0,19
2000,Hadern,7486.0,20
