Year,Location,Population,District
2020,Sendling - Westpark,"41,6",07
2020,Schwanthalerhöhe,"39,6",08
2020,Neuhausen - Nymphenburg,"41,4",09
2020,Moosach,"41,6",10
2020,Milbertshofen - Am Hart,"39,8",11
2020,Schwabing - Freimann,"39,6",12
2020,Bogenhausen,"42,5",13
2020,Berg am Laim,"41,2",14
2020,Trudering - Riem,"40,4",15
2020,Ramersdorf - Perlach,"42,1",16
2020,Obergiesing - Fasangarten,"40,9",17
2020,Untergiesing - Harlaching,"43,2",18
2020,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,9",19
2020,Hadern,"43,5",20
2020,Pasing - Obermenzing,"42,3",21
2020,Aubing - Lochhausen - Langwied,"41,1",22
2020,Allach - Untermenzing,"42,1",23
2020,Feldmoching - Hasenbergl,"41,6",24
2020,Laim,"42,3",25
2019,Stadt München,"41,2",00
2019,Altstadt - Lehel,"41,7",01
2019,Ludwigsvorstadt - Isarvorstadt,"39,2",02
2019,Maxvorstadt,"38,7",03
2019,Schwabing - West,"40,9",04
2019,Au - Haidhausen,"40,5",05
2019,Sendling,"40,5",06
2019,Sendling - Westpark,"41,4",07
2019,Schwanthalerhöhe,"39,2",08
2019,Neuhausen - Nymphenburg,"41,2",09
2019,Moosach,"41,5",10
2019,Milbertshofen - Am Hart,"39,6",11
2019,Schwabing - Freimann,"39,5",12
2019,Bogenhausen,"42,6",13
2019,Berg am Laim,"41,1",14
2019,Trudering - Riem,"40,2",15
2019,Ramersdorf - Perlach,42,16
2019,Obergiesing - Fasangarten,"40,6",17
2019,Untergiesing - Harlaching,43,18
2019,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,9",19
2019,Hadern,"43,3",20
2019,Pasing - Obermenzing,"42,2",21
2019,Aubing - Lochhausen - Langwied,"41,2",22
2019,Allach - Untermenzing,"41,9",23
2019,Feldmoching - Hasenbergl,"41,5",24
2019,Laim,"42,2",25
2018,Stadt München,"41,2",00
2018,Altstadt - Lehel,"41,7",01
2018,Ludwigsvorstadt - Isarvorstadt,39,02
2018,Maxvorstadt,"38,7",03
2018,Schwabing - West,"40,9",04
2018,Au - Haidhausen,"40,3",05
2018,Sendling,"40,5",06
2018,Sendling - Westpark,"41,5",07
2018,Schwanthalerhöhe,"39,2",08
2018,Neuhausen - Nymphenburg,"41,2",09
2018,Moosach,"41,5",10
2018,Milbertshofen - Am Hart,"39,7",11
2018,Schwabing - Freimann,"39,3",12
2018,Bogenhausen,"42,8",13
2018,Berg am Laim,"41,1",14
2018,Trudering - Riem,40,15
2018,Ramersdorf - Perlach,42,16
2018,Obergiesing - Fasangarten,"40,4",17
2018,Untergiesing - Harlaching,"42,8",18
2018,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,43,19
2018,Hadern,"43,2",20
2018,Pasing - Obermenzing,"42,4",21
2018,Aubing - Lochhausen - Langwied,"41,3",22
2018,Allach - Untermenzing,"42,1",23
2018,Feldmoching - Hasenbergl,"41,3",24
2018,Laim,"42,2",25
2017,Stadt München,"41,2",00
2017,Altstadt - Lehel,"41,7",01
2017,Ludwigsvorstadt - Isarvorstadt,39,02
2017,Maxvorstadt,"38,6",03
2017,Schwabing - West,"40,8",04
2017,Au - Haidhausen,"40,1",05
2017,Sendling,"40,4",06
2017,Sendling - Westpark,"41,4",07
2017,Schwanthalerhöhe,"39,1",08
2017,Neuhausen - Nymphenburg,"41,2",09
2017,Moosach,"41,4",10
2017,Milbertshofen - Am Hart,"39,6",11
2017,Schwabing - Freimann,"39,3",12
2017,Bogenhausen,"42,9",13
2017,Berg am Laim,"41,1",14
2017,Trudering - Riem,"39,8",15
2017,Ramersdorf - Perlach,"42,1",16
2017,Obergiesing - Fasangarten,"40,2",17
2017,Untergiesing - Harlaching,"42,8",18
2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,1",19
2017,Hadern,"43,2",20
2017,Pasing - Obermenzing,"42,3",21
2017,Aubing - Lochhausen - Langwied,"41,6",22
2017,Allach - Untermenzing,"42,1",23
2017,Feldmoching - Hasenbergl,"41,4",24
2017,Laim,"42,2",25
2016,Stadt München,"41,2",00
2016,Altstadt - Lehel,"41,7",01
2016,Ludwigsvorstadt - Isarvorstadt,"38,9",02
2016,Maxvorstadt,"38,5",03
2016,Schwabing - West,"40,7",04
2016,Au - Haidhausen,"40,1",05
2016,Sendling,"40,4",06
2016,Sendling - Westpark,"41,5",07
2016,Schwanthalerhöhe,"39,1",08
2016,Neuhausen - Nymphenburg,"41,2",09
2016,Moosach,"41,5",10
2016,Milbertshofen - Am Hart,"39,5",11
2016,Schwabing - Freimann,"39,3",12
2016,Bogenhausen,"42,9",13
2016,Berg am Laim,"41,1",14
2016,Trudering - Riem,"39,8",15
2016,Ramersdorf - Perlach,"42,3",16
2016,Obergiesing - Fasangarten,"40,2",17
2016,Untergiesing - Harlaching,"42,7",18
2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,43,19
2016,Hadern,43,20
2016,Pasing - Obermenzing,"42,2",21
2016,Aubing - Lochhausen - Langwied,"41,9",22
2016,Allach - Untermenzing,"42,2",23
2016,Feldmoching - Hasenbergl,"41,5",24
2016,Laim,"42,3",25
2015,Stadt München,"41,2",00
2015,Altstadt - Lehel,"41,8",01
2015,Ludwigsvorstadt - Isarvorstadt,"38,8",02
2015,Maxvorstadt,"38,3",03
2015,Schwabing - West,"40,7",04
2015,Au - Haidhausen,40,05
2015,Sendling,"40,4",06
2015,Sendling - Westpark,"41,6",07
2015,Schwanthalerhöhe,"38,9",08
2015,Neuhausen - Nymphenburg,"41,1",09
2015,Moosach,"41,6",10
2015,Milbertshofen - Am Hart,"39,5",11
2015,Schwabing - Freimann,"39,2",12
2015,Bogenhausen,"42,9",13
2015,Berg am Laim,"41,2",14
2015,Trudering - Riem,"39,8",15
2015,Ramersdorf - Perlach,"42,3",16
2015,Obergiesing - Fasangarten,"40,2",17
2015,Untergiesing - Harlaching,"42,7",18
2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,3",19
2015,Hadern,"42,9",20
2015,Pasing - Obermenzing,"42,2",21
2015,Aubing - Lochhausen - Langwied,"42,4",22
2015,Allach - Untermenzing,"42,4",23
2015,Feldmoching - Hasenbergl,"41,5",24
2015,Laim,"42,5",25
2014,Stadt München,"41,3",00
2014,Altstadt - Lehel,"41,7",01
2014,Ludwigsvorstadt - Isarvorstadt,"38,9",02
2014,Maxvorstadt,"38,4",03
2014,Schwabing - West,"40,9",04
2014,Au - Haidhausen,40,05
2014,Sendling,"40,4",06
2014,Sendling - Westpark,"41,9",07
2014,Schwanthalerhöhe,"38,7",08
2014,Neuhausen - Nymphenburg,"41,1",09
2014,Moosach,"41,7",10
2014,Milbertshofen - Am Hart,"39,4",11
2014,Schwabing - Freimann,"39,8",12
2014,Bogenhausen,"43,1",13
2014,Berg am Laim,"41,3",14
2014,Trudering - Riem,"39,7",15
2014,Ramersdorf - Perlach,"42,4",16
2014,Obergiesing - Fasangarten,"40,4",17
2014,Untergiesing - Harlaching,"42,8",18
2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,6",19
2014,Hadern,"42,9",20
2014,Pasing - Obermenzing,"42,2",21
2014,Aubing - Lochhausen - Langwied,"42,6",22
2014,Allach - Untermenzing,"42,5",23
2014,Feldmoching - Hasenbergl,"41,6",24
2014,Laim,"42,6",25
2013,Stadt München,"41,3",00
2013,Altstadt - Lehel,"41,8",01
2013,Ludwigsvorstadt - Isarvorstadt,"38,9",02
2013,Maxvorstadt,"38,4",03
2013,Schwabing - West,41,04
2013,Au - Haidhausen,"39,9",05
2013,Sendling,"40,3",06
2013,Sendling - Westpark,"42,1",07
2013,Schwanthalerhöhe,"38,6",08
2013,Neuhausen - Nymphenburg,41,09
2013,Moosach,"41,8",10
2013,Milbertshofen - Am Hart,"39,4",11
2013,Schwabing - Freimann,40,12
2013,Bogenhausen,"43,2",13
2013,Berg am Laim,"41,3",14
2013,Trudering - Riem,"39,4",15
2013,Ramersdorf - Perlach,"42,5",16
2013,Obergiesing - Fasangarten,"40,4",17
2013,Untergiesing - Harlaching,"42,8",18
2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,4",19
2013,Hadern,"42,9",20
2013,Pasing - Obermenzing,"42,2",21
2013,Aubing - Lochhausen - Langwied,"42,4",22
2013,Allach - Untermenzing,"42,5",23
2013,Feldmoching - Hasenbergl,"41,6",24
2013,Laim,"42,6",25
2012,Stadt München,"41,4",00
2012,Altstadt - Lehel,"41,9",01
2012,Ludwigsvorstadt - Isarvorstadt,"38,9",02
2012,Maxvorstadt,"38,4",03
2012,Schwabing - West,"41,1",04
2012,Au - Haidhausen,"39,9",05
2012,Sendling,"40,2",06
2012,Sendling - Westpark,"42,1",07
2012,Schwanthalerhöhe,"38,6",08
2012,Neuhausen - Nymphenburg,"41,1",09
2012,Moosach,"41,9",10
2012,Milbertshofen - Am Hart,"39,3",11
2012,Schwabing - Freimann,40,12
2012,Bogenhausen,"43,2",13
2012,Berg am Laim,"41,4",14
2012,Trudering - Riem,"39,2",15
2012,Ramersdorf - Perlach,"42,4",16
2012,Obergiesing - Fasangarten,"40,5",17
2012,Untergiesing - Harlaching,43,18
2012,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,9",19
2012,Hadern,"42,9",20
2012,Pasing - Obermenzing,"42,2",21
2012,Aubing - Lochhausen - Langwied,"42,5",22
2012,Allach - Untermenzing,"42,4",23
2012,Feldmoching - Hasenbergl,"41,6",24
2012,Laim,"42,7",25
2011,Stadt München,"41,4",00
2011,Altstadt - Lehel,"41,9",01
2011,Ludwigsvorstadt - Isarvorstadt,39,02
2011,Maxvorstadt,"38,6",03
2011,Schwabing - West,"41,2",04
2011,Au - Haidhausen,"40,1",05
2011,Sendling,"40,2",06
2011,Sendling - Westpark,"42,3",07
2011,Schwanthalerhöhe,"38,6",08
2011,Neuhausen - Nymphenburg,"41,2",09
2011,Moosach,"41,8",10
2011,Milbertshofen - Am Hart,"39,4",11
2011,Schwabing - Freimann,40,12
2011,Bogenhausen,"43,2",13
2011,Berg am Laim,"41,5",14
2011,Trudering - Riem,39,15
2011,Ramersdorf - Perlach,"42,3",16
2011,Obergiesing - Fasangarten,"40,5",17
2011,Untergiesing - Harlaching,43,18
2011,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,44,19
2011,Hadern,"42,9",20
2011,Pasing - Obermenzing,"42,2",21
2011,Aubing - Lochhausen - Langwied,"42,6",22
2011,Allach - Untermenzing,"42,5",23
2011,Feldmoching - Hasenbergl,"41,7",24
2011,Laim,"42,7",25
2010,Stadt München,"41,5",00
2010,Altstadt - Lehel,"42,2",01
2010,Ludwigsvorstadt - Isarvorstadt,"39,1",02
2010,Maxvorstadt,"38,6",03
2010,Schwabing - West,"41,3",04
2010,Au - Haidhausen,"40,2",05
2010,Sendling,"40,1",06
2010,Sendling - Westpark,"42,4",07
2010,Schwanthalerhöhe,"38,8",08
2010,Neuhausen - Nymphenburg,"41,4",09
2010,Moosach,"41,8",10
2010,Milbertshofen - Am Hart,"39,4",11
2010,Schwabing - Freimann,"40,1",12
2010,Bogenhausen,"43,2",13
2010,Berg am Laim,"41,5",14
2010,Trudering - Riem,39,15
2010,Ramersdorf - Perlach,"42,2",16
2010,Obergiesing - Fasangarten,"40,8",17
2010,Untergiesing - Harlaching,"43,2",18
2010,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,2",19
2010,Hadern,"42,8",20
2010,Pasing - Obermenzing,"42,4",21
2010,Aubing - Lochhausen - Langwied,"42,8",22
2010,Allach - Untermenzing,"42,6",23
2010,Feldmoching - Hasenbergl,"41,7",24
2010,Laim,"42,9",25
2009,Stadt München,"41,5",00
2009,Altstadt - Lehel,"42,5",01
2009,Ludwigsvorstadt - Isarvorstadt,"39,2",02
2009,Maxvorstadt,"38,6",03
2009,Schwabing - West,"41,3",04
2009,Au - Haidhausen,"40,2",05
2009,Sendling,"40,1",06
2009,Sendling - Westpark,"42,4",07
2009,Schwanthalerhöhe,"38,8",08
2009,Neuhausen - Nymphenburg,"41,5",09
2009,Moosach,"41,6",10
2009,Milbertshofen - Am Hart,"39,4",11
2009,Schwabing - Freimann,"40,2",12
2009,Bogenhausen,"43,1",13
2009,Berg am Laim,"41,6",14
